alpha		beta		gamma		g		a0		E1		E2		E1_ND	E2_ND	P0	E0
-2.015729e+08	-1.603360e+10	2.231673e+11	-5.551891e+07	4.448879e+08	1.122808e+08	-1.122891e+08	3.9382	-3.9385	0.5658	0.2851
-6.433251e+08	-1.429187e+10	1.815068e+12	-4.329774e+08	8.047372e+08	1.090338e+08	-1.090293e+08	2.7315	-2.7314	0.2482	0.3992
-7.996408e+08	-1.064682e+10	8.707950e+11	-4.952517e+08	2.305471e+08	1.644105e+08	-1.644197e+08	2.5609	-2.5610	0.3211	0.6420
-4.343698e+08	-2.355607e+10	4.848643e+11	-3.501228e+08	4.709894e+08	1.909418e+08	-1.909401e+08	3.8580	-3.8580	0.4558	0.4949
-1.338227e+08	-1.726973e+10	1.204562e+11	-7.911018e+07	5.813317e+08	2.374408e+08	-2.374538e+08	9.2722	-9.2727	0.7654	0.2561
-5.769006e+08	-2.459336e+10	1.141611e+12	-1.753131e+08	2.693943e+08	1.113904e+08	-1.113908e+08	2.1454	-2.1454	0.3600	0.5192
-9.382027e+08	-2.316845e+10	6.173687e+12	-4.010304e+08	7.197748e+08	1.010636e+08	-1.010437e+08	2.0186	-2.0182	0.2135	0.5007
-4.391426e+08	-1.715798e+10	5.378459e+11	-2.365560e+08	9.141340e+08	1.228982e+08	-1.228841e+08	2.7618	-2.7615	0.4053	0.4450
-6.490056e+08	-2.866009e+10	3.722233e+12	-4.746342e+08	3.791070e+08	1.039201e+08	-1.039228e+08	2.9603	-2.9604	0.2164	0.3510
-5.144428e+08	-2.149162e+10	1.278461e+12	-3.821903e+08	1.103172e+08	1.166121e+08	-1.166248e+08	3.0847	-3.0850	0.2939	0.3780
-3.553870e+08	-1.392888e+10	1.025488e+11	-1.509026e+08	2.491692e+08	2.789826e+08	-2.789714e+08	4.0647	-4.0646	0.7725	0.6863
-4.181577e+08	-1.612106e+10	7.808137e+11	-4.075776e+08	2.859400e+08	1.190258e+08	-1.190193e+08	3.9022	-3.9020	0.2918	0.3050
-7.856548e+08	-1.811820e+10	3.140439e+12	-3.803553e+08	2.115761e+08	1.034963e+08	-1.034701e+08	2.1800	-2.1795	0.2417	0.4747
-9.936085e+08	-2.974146e+10	4.880564e+12	-4.486434e+08	1.639254e+08	1.251970e+08	-1.252322e+08	2.1265	-2.1271	0.2370	0.5888
-7.762822e+08	-2.116623e+10	1.624094e+12	-4.741161e+08	3.182655e+08	1.487442e+08	-1.487472e+08	2.6055	-2.6056	0.2942	0.5709
-1.577309e+08	-2.453431e+10	3.650556e+11	-1.082639e+08	5.455091e+08	1.339882e+08	-1.339974e+08	6.4600	-6.4604	0.5260	0.2074
-1.144513e+09	-2.334873e+10	8.941051e+12	-4.981319e+08	6.100326e+08	1.144574e+08	-1.144615e+08	2.0094	-2.0094	0.1991	0.5696
-6.174006e+08	-1.670689e+10	8.298067e+11	-4.649036e+08	6.876255e+08	1.558612e+08	-1.558423e+08	3.0754	-3.0751	0.3283	0.5068
-4.703480e+08	-2.648331e+10	1.140009e+12	-3.316735e+08	4.026565e+08	1.239731e+08	-1.239811e+08	3.1712	-3.1714	0.3325	0.3909
-3.673054e+08	-2.057804e+10	2.859028e+11	-1.055647e+08	3.076451e+08	1.759801e+08	-1.759805e+08	3.3259	-3.3259	0.5762	0.5291
-2.359112e+08	-2.575851e+10	6.563575e+11	-2.694944e+08	5.231542e+08	1.192669e+08	-1.192758e+08	5.1941	-5.1945	0.3893	0.2296
-7.548709e+08	-1.897426e+10	2.302023e+12	-3.033917e+08	6.194185e+08	1.046246e+08	-1.046179e+08	2.0260	-2.0259	0.2736	0.5164
-5.167685e+08	-1.213911e+10	6.897063e+11	-3.960342e+08	6.204098e+08	1.255179e+08	-1.255016e+08	3.0916	-3.0911	0.3143	0.4060
-3.074035e+08	-1.451435e+10	2.453114e+11	-2.018085e+08	1.274017e+08	1.411994e+08	-1.411886e+08	3.5836	-3.5833	0.5127	0.3940
-1.005140e+09	-1.404697e+10	5.291847e+12	-4.927643e+08	9.036515e+08	1.138783e+08	-1.138526e+08	2.1357	-2.1353	0.2122	0.5332
-6.499670e+08	-1.766528e+10	1.840566e+12	-4.668062e+08	1.073554e+08	1.187463e+08	-1.187305e+08	2.9006	-2.9002	0.2519	0.4094
-6.475927e+08	-1.193494e+10	1.112492e+12	-3.756951e+08	7.935963e+08	1.179538e+08	-1.179596e+08	2.4620	-2.4622	0.2959	0.4791
-8.836834e+08	-6.313422e+09	2.318737e+12	-4.980230e+08	2.474005e+08	1.231128e+08	-1.230934e+08	2.3277	-2.3273	0.2394	0.5289
-7.639153e+08	-1.757817e+10	2.111468e+12	-4.367890e+08	5.195215e+08	1.223603e+08	-1.223679e+08	2.4365	-2.4366	0.2630	0.5022
-6.452372e+08	-2.650674e+10	1.160662e+12	-1.788998e+08	4.604813e+08	1.259643e+08	-1.259473e+08	2.1025	-2.1022	0.3714	0.5991
-7.200343e+08	-2.055507e+09	8.329357e+11	-3.849783e+08	9.791606e+08	1.172467e+08	-1.172316e+08	2.2300	-2.2297	0.2921	0.5258
-8.802453e+08	-1.786110e+10	2.661941e+12	-3.750947e+08	3.873976e+08	1.190028e+08	-1.189959e+08	2.0420	-2.0419	0.2648	0.5828
-3.085769e+08	-1.693434e+10	2.113481e+11	-1.274734e+08	4.527689e+08	1.707752e+08	-1.707637e+08	3.6961	-3.6958	0.5989	0.4620
-3.359828e+08	-2.339236e+10	3.752552e+11	-1.128142e+08	6.896019e+08	1.577641e+08	-1.577610e+08	3.5308	-3.5308	0.5320	0.4468
-9.567284e+08	-5.585692e+09	2.973753e+12	-4.615492e+08	6.407753e+08	1.177382e+08	-1.177612e+08	2.0893	-2.0897	0.2356	0.5635
-5.374045e+08	-2.829655e+10	8.527532e+11	-8.892624e+07	4.207829e+08	1.266920e+08	-1.266937e+08	2.2252	-2.2252	0.4238	0.5693
-9.567098e+08	-1.105420e+10	5.353780e+12	-4.702144e+08	3.563433e+08	1.048870e+08	-1.048833e+08	2.1276	-2.1276	0.2061	0.4930
-9.924741e+08	-2.243406e+10	3.725414e+12	-4.705079e+08	1.608741e+08	1.320543e+08	-1.320499e+08	2.1567	-2.1566	0.2468	0.6123
-3.101712e+08	-9.367457e+09	2.982870e+11	-2.702152e+08	8.727952e+08	1.028453e+08	-1.028525e+08	3.5342	-3.5344	0.3753	0.2910
-4.715059e+08	-2.459489e+10	8.018790e+11	-4.789245e+08	4.571776e+08	1.692171e+08	-1.692376e+08	4.1190	-4.1195	0.3485	0.4108
-3.874807e+08	-2.712726e+10	3.029783e+11	-5.270472e+07	5.983352e+08	2.395094e+08	-2.395102e+08	3.8991	-3.8991	0.6341	0.6143
-9.823154e+08	-2.335945e+10	7.477245e+12	-4.592522e+08	2.287247e+08	1.036860e+08	-1.036966e+08	2.1037	-2.1039	0.2007	0.4929
-4.766721e+08	-2.017941e+10	5.397841e+11	-4.893835e+08	9.369579e+08	1.896822e+08	-1.896800e+08	4.1519	-4.1519	0.3834	0.4569
-4.887947e+08	-4.600895e+09	9.221358e+10	-2.950522e+08	7.581530e+08	1.783627e+08	-1.783566e+08	2.6278	-2.6277	0.5555	0.6788
-4.268950e+08	-1.325369e+10	2.337400e+11	-1.080604e+08	1.790906e+08	1.396255e+08	-1.396156e+08	2.3900	-2.3898	0.5474	0.5842
-9.740063e+08	-2.954301e+10	3.122274e+12	-4.466740e+08	9.266100e+08	1.456295e+08	-1.456306e+08	2.1949	-2.1949	0.2725	0.6635
-4.858705e+08	-1.538818e+10	7.431665e+11	-2.212127e+08	1.518520e+08	1.018187e+08	-1.018208e+08	2.3474	-2.3475	0.3571	0.4337
-7.319992e+08	-2.975368e+10	1.307202e+12	-3.431003e+08	7.415872e+08	1.628380e+08	-1.628382e+08	2.4854	-2.4854	0.3580	0.6552
